person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,person_cred_hist_length,loan_status,income_to_age_ratio,loan_amt_to_income_ratio,emp_length_to_age_ratio
RENT,DEBTCONSOLIDATION,13.57,0.43,2,1,1304.3478260869565,0.43333333333333335,0.17391304347826086
RENT,DEBTCONSOLIDATION,11.14,0.36,4,1,1636.3636363636363,0.3611111111111111,0.2727272727272727
RENT,EDUCATION,10.25,0.35,4,1,1541.6666666666667,0.35135135135135137,0.125
RENT,EDUCATION,11.36,0.34,4,1,1652.1739130434783,0.34210526315789475,0.17391304347826086
RENT,EDUCATION,11.71,0.34,3,1,1669.5652173913043,0.3385416666666667,0.21739130434782608
RENT,DEBTCONSOLIDATION,10.74,0.34,3,1,1536.0,0.3385416666666667,0.0
RENT,DEBTCONSOLIDATION,11.83,0.33,4,1,1772.7272727272727,0.3333333333333333,0.22727272727272727
RENT,PERSONAL,10.99,0.33,3,1,1600.0,0.325,0.36
MORTGAGE,MEDICAL,13.47,0.25,4,1,1464.2272727272727,0.24834694067612453,0.13636363636363635
RENT,PERSONAL,12.87,0.15,3,1,1130.4347826086957,0.15384615384615385,0.043478260869565216
RENT,DEBTCONSOLIDATION,11.36,0.15,3,1,1100.0,0.15151515151515152,0.125
RENT,EDUCATION,14.17,0.15,2,1,1147.8260869565217,0.15151515151515152,0.34782608695652173
RENT,MEDICAL,15.58,0.15,2,1,1285.7142857142858,0.14814814814814814,0.23809523809523808
RENT,VENTURE,15.21,0.13,2,1,1363.6363636363637,0.13333333333333333,0.0
MORTGAGE,MEDICAL,11.36,0.31,4,1,1246.1538461538462,0.30864197530864196,0.38461538461538464
RENT,PERSONAL,11.83,0.13,4,1,1153.8461538461538,0.13333333333333333,0.038461538461538464
RENT,VENTURE,12.61,0.13,3,1,1236.0,0.12944983818770225,0.04
MORTGAGE,PERSONAL,13.61,0.05,4,1,1542.857142857143,0.05401234567901234,0.14285714285714285
RENT,HOMEIMPROVEMENT,17.93,0.13,3,1,1333.3333333333333,0.125,0.08333333333333333
RENT,MEDICAL,11.71,0.12,4,1,1434.4782608695652,0.12123783832934258,0.2608695652173913
MORTGAGE,HOMEIMPROVEMENT,7.51,0.19,4,1,1476.5454545454545,0.1924024134958749,0.2727272727272727
MORTGAGE,DEBTCONSOLIDATION,16.02,0.13,3,1,1249.8461538461538,0.1292466765140325,0.3076923076923077
MORTGAGE,VENTURE,16.45,0.42,4,1,1483.8181818181818,0.4212106359514765,0.2727272727272727
MORTGAGE,PERSONAL,14.61,0.18,4,1,1632.6,0.18375597206909225,0.0
RENT,HOMEIMPROVEMENT,14.54,0.14,3,1,1160.0,0.13793103448275862,0.04
RENT,EDUCATION,14.83,0.14,4,1,1380.952380952381,0.13793103448275862,0.0
RENT,EDUCATION,15.33,0.14,4,1,1318.1818181818182,0.13793103448275862,0.22727272727272727
RENT,MEDICAL,9.96,0.14,3,1,1208.3333333333333,0.13793103448275862,0.041666666666666664
RENT,MEDICAL,14.27,0.13,2,1,1153.8461538461538,0.13333333333333333,0.11538461538461539
RENT,EDUCATION,14.96,0.13,2,1,1363.6363636363637,0.13333333333333333,0.045454545454545456
RENT,VENTURE,11.36,0.12,2,1,1472.7272727272727,0.12345679012345678,0.18181818181818182
MORTGAGE,HOMEIMPROVEMENT,13.72,0.27,2,1,1269.2307692307693,0.2727272727272727,0.0
RENT,HOMEIMPROVEMENT,11.36,0.12,2,1,1360.0,0.11764705882352941,0.0
MORTGAGE,HOMEIMPROVEMENT,7.14,0.1,3,1,1571.4285714285713,0.09848484848484848,0.09523809523809523
RENT,HOMEIMPROVEMENT,12.18,0.11,4,1,1521.7391304347825,0.11428571428571428,0.08695652173913043
RENT,MEDICAL,16.0,0.11,3,1,1466.6666666666667,0.11363636363636363,0.041666666666666664
MORTGAGE,DEBTCONSOLIDATION,10.91,0.36,3,1,1269.2307692307693,0.36363636363636365,0.038461538461538464
RENT,HOMEIMPROVEMENT,12.99,0.11,4,1,1714.2857142857142,0.1111111111111111,0.23809523809523808
RENT,MEDICAL,10.99,0.11,4,1,1565.2173913043478,0.1111111111111111,0.30434782608695654
MORTGAGE,PERSONAL,15.96,0.18,4,1,1326.72,0.1808972503617945,0.36
MORTGAGE,PERSONAL,12.69,0.09,4,1,1276.6153846153845,0.09038322487346348,0.0
RENT,PERSONAL,14.54,0.11,2,1,1384.6153846153845,0.1111111111111111,0.07692307692307693
RENT,EDUCATION,5.79,0.1,4,1,1523.076923076923,0.10101010101010101,0.11538461538461539
RENT,PERSONAL,7.51,0.1,3,1,1863.6363636363637,0.0975609756097561,0.3181818181818182
RENT,PERSONAL,14.84,0.1,4,1,1640.0,0.0975609756097561,0.04
RENT,HOMEIMPROVEMENT,11.86,0.1,2,1,1750.0,0.09523809523809523,0.3333333333333333
RENT,HOMEIMPROVEMENT,12.73,0.1,3,1,1750.0,0.09523809523809523,0.08333333333333333
MORTGAGE,DEBTCONSOLIDATION,5.99,0.13,2,1,1294.6153846153845,0.13368983957219252,0.0
RENT,DEBTCONSOLIDATION,17.58,0.09,2,1,1833.3333333333333,0.09090909090909091,0.041666666666666664
RENT,HOMEIMPROVEMENT,5.99,0.09,4,1,2026.4545454545455,0.0897223094522453,0.2727272727272727
RENT,DEBTCONSOLIDATION,15.99,0.09,4,1,1875.0,0.08888888888888889,0.0
RENT,DEBTCONSOLIDATION,19.29,0.09,3,1,1983.9130434782608,0.08766162612316458,0.0
RENT,DEBTCONSOLIDATION,16.32,0.09,3,1,1855.68,0.0862217623728229,0.36
RENT,PERSONAL,10.37,0.08,3,1,2086.9565217391305,0.08333333333333333,0.34782608695652173
RENT,PERSONAL,9.99,0.08,3,1,2030.7692307692307,0.07575757575757576,0.15384615384615385
RENT,MEDICAL,13.47,0.07,2,1,2076.923076923077,0.07407407407407407,0.0
RENT,EDUCATION,14.75,0.07,2,1,2350.0,0.07092198581560284,0.0
RENT,DEBTCONSOLIDATION,16.0,0.07,4,1,2652.1739130434785,0.06557377049180328,0.08695652173913043
RENT,HOMEIMPROVEMENT,11.12,0.06,2,1,2863.6363636363635,0.06349206349206349,0.2727272727272727
RENT,HOMEIMPROVEMENT,11.36,0.06,2,1,2782.4347826086955,0.06250390649415588,0.08695652173913043
MORTGAGE,VENTURE,14.27,0.35,4,1,1478.2608695652175,0.35294117647058826,0.13043478260869565
MORTGAGE,MEDICAL,11.71,0.13,2,1,1545.4545454545455,0.1323529411764706,0.2727272727272727
MORTGAGE,EDUCATION,10.65,0.16,3,1,1307.6923076923076,0.16176470588235295,0.19230769230769232
RENT,HOMEIMPROVEMENT,7.14,0.05,4,1,3826.086956521739,0.045454545454545456,0.17391304347826086
MORTGAGE,MEDICAL,17.58,0.12,3,1,1307.6923076923076,0.11764705882352941,0.11538461538461539
RENT,DEBTCONSOLIDATION,10.51,0.03,3,1,4919.5,0.03387878171900938,0.0
RENT,HOMEIMPROVEMENT,14.84,0.03,3,1,6076.923076923077,0.02531645569620253,0.0
RENT,DEBTCONSOLIDATION,13.11,0.28,2,1,625.0,0.28,0.3333333333333333
RENT,DEBTCONSOLIDATION,11.36,0.26,4,1,666.6666666666666,0.2625,0.08333333333333333
RENT,HOMEIMPROVEMENT,11.36,0.22,2,1,904.7619047619048,0.22105263157894736,0.09523809523809523
RENT,PERSONAL,15.2,0.19,4,1,1025.4545454545455,0.18617021276595744,0.13636363636363635
RENT,PERSONAL,16.0,0.16,2,1,1083.3333333333333,0.16153846153846155,0.0
RENT,MEDICAL,9.91,0.15,4,1,1276.3636363636363,0.14957264957264957,0.0
RENT,EDUCATION,16.49,0.14,3,1,1153.8461538461538,0.14,0.038461538461538464
RENT,DEBTCONSOLIDATION,12.98,0.36,4,1,480.0,0.3625,0.12
RENT,DEBTCONSOLIDATION,11.36,0.3,2,1,600.0,0.3038194444444444,0.0
RENT,DEBTCONSOLIDATION,12.69,0.29,4,1,576.9230769230769,0.2916666666666667,0.0
RENT,DEBTCONSOLIDATION,9.99,0.26,2,1,700.0,0.2604166666666667,0.0
RENT,HOMEIMPROVEMENT,16.4,0.2,3,1,918.5,0.19846670295772093,0.125
RENT,HOMEIMPROVEMENT,19.91,0.31,4,1,654.5454545454545,0.3055555555555556,0.0
RENT,PERSONAL,11.49,0.23,2,1,872.7272727272727,0.22916666666666666,0.2727272727272727
MORTGAGE,VENTURE,15.99,0.44,2,1,1545.4545454545455,0.4411764705882353,0.2727272727272727
RENT,MEDICAL,11.99,0.1,4,1,1869.5652173913043,0.10232558139534884,0.30434782608695654
RENT,DEBTCONSOLIDATION,16.77,0.09,3,1,2041.6666666666667,0.08979591836734693,0.3333333333333333
RENT,EDUCATION,7.88,0.31,4,1,654.5454545454545,0.3125,0.0
MORTGAGE,DEBTCONSOLIDATION,13.49,0.09,3,0,1600.0,0.0875,0.36
MORTGAGE,VENTURE,10.99,0.08,2,0,1666.6666666666667,0.08,0.125
RENT,VENTURE,5.99,0.29,4,1,678.2608695652174,0.28846153846153844,0.043478260869565216
RENT,PERSONAL,7.51,0.29,3,1,624.0,0.28846153846153844,0.12
MORTGAGE,DEBTCONSOLIDATION,11.49,0.19,3,0,1818.1818181818182,0.1875,0.13636363636363635
OWN,EDUCATION,8.49,0.07,4,0,1666.6666666666667,0.07,0.25
RENT,PERSONAL,13.99,0.26,2,1,704.0,0.2556818181818182,0.0
OWN,MEDICAL,8.49,0.28,2,0,1600.0,0.275,0.0
RENT,VENTURE,7.49,0.25,4,1,782.6086956521739,0.25,0.0
MORTGAGE,HOMEIMPROVEMENT,7.49,0.38,2,0,1666.6666666666667,0.375,0.20833333333333334
MORTGAGE,DEBTCONSOLIDATION,11.99,0.07,4,0,1666.6666666666667,0.075,0.20833333333333334
MORTGAGE,MEDICAL,11.36,0.33,4,0,1739.1304347826087,0.33,0.2608695652173913
MORTGAGE,MEDICAL,10.99,0.05,4,0,1739.1304347826087,0.05,0.08695652173913043
RENT,PERSONAL,10.38,0.25,2,1,857.1428571428571,0.25,0.09523809523809523
MORTGAGE,HOMEIMPROVEMENT,9.99,0.06,2,0,1666.6666666666667,0.0625,0.08333333333333333
RENT,DEBTCONSOLIDATION,12.21,0.25,3,1,782.6086956521739,0.25,0.0
RENT,EDUCATION,8.94,0.25,2,1,758.3333333333334,0.24725274725274726,0.3333333333333333
MORTGAGE,DEBTCONSOLIDATION,5.79,0.25,4,0,1666.6666666666667,0.25,0.25
RENT,EDUCATION,13.61,0.25,2,1,728.16,0.24719841793012526,0.0
OWN,MEDICAL,10.74,0.11,2,0,1538.4615384615386,0.1075,0.0
RENT,PERSONAL,13.49,0.23,2,0,952.3809523809524,0.225,0.23809523809523808
MORTGAGE,MEDICAL,11.11,0.05,4,0,1666.6666666666667,0.053125,0.375
RENT,MEDICAL,8.0,0.22,2,0,952.5714285714286,0.22495500899820037,0.19047619047619047
RENT,PERSONAL,10.99,0.22,2,0,971.4285714285714,0.22058823529411764,0.09523809523809523
RENT,DEBTCONSOLIDATION,9.62,0.21,4,0,840.0,0.21428571428571427,0.0
RENT,EDUCATION,16.45,0.21,4,1,840.0,0.21428571428571427,0.08
MORTGAGE,PERSONAL,7.66,0.27,4,0,1818.1818181818182,0.27125,0.3181818181818182
RENT,EDUCATION,15.65,0.21,2,1,939.1304347826087,0.20833333333333334,0.043478260869565216
RENT,MEDICAL,17.99,0.19,3,1,1018.304347826087,0.19213526322531063,0.13043478260869565
MORTGAGE,EDUCATION,14.17,0.12,2,1,1478.2608695652175,0.11764705882352941,0.0
MORTGAGE,PERSONAL,11.11,0.18,2,0,1739.1304347826087,0.18,0.2608695652173913
RENT,EDUCATION,9.62,0.19,4,0,1138.857142857143,0.18815855494229805,0.09523809523809523
RENT,MEDICAL,12.42,0.19,4,0,923.0769230769231,0.1875,0.38461538461538464
MORTGAGE,DEBTCONSOLIDATION,11.11,0.13,2,0,1666.6666666666667,0.125,0.25
RENT,VENTURE,5.79,0.19,3,0,923.0769230769231,0.1875,0.19230769230769232
RENT,EDUCATION,11.49,0.19,2,0,1090.909090909091,0.1875,0.0
MORTGAGE,HOMEIMPROVEMENT,7.29,0.1,2,0,1600.0,0.1,0.04
RENT,DEBTCONSOLIDATION,8.94,0.18,2,0,1113.6363636363637,0.1836734693877551,0.13636363636363635
RENT,MEDICAL,9.99,0.18,4,0,1112.8695652173913,0.17580872011251758,0.08695652173913043
RENT,MEDICAL,8.49,0.17,2,1,1130.4347826086957,0.17307692307692307,0.13043478260869565
RENT,VENTURE,6.92,0.15,3,0,1239.84,0.14518002322880372,0.36
RENT,MEDICAL,7.29,0.14,4,0,1333.3333333333333,0.140625,0.0
RENT,EDUCATION,7.49,0.14,4,0,1408.695652173913,0.1388888888888889,0.17391304347826086
MORTGAGE,EDUCATION,5.42,0.12,2,0,1818.1818181818182,0.12,0.045454545454545456
RENT,PERSONAL,7.88,0.14,3,0,1500.0,0.13636363636363635,0.09090909090909091
RENT,DEBTCONSOLIDATION,15.05,0.14,4,1,1434.7826086956522,0.13636363636363635,0.043478260869565216
MORTGAGE,DEBTCONSOLIDATION,6.92,0.2,4,0,1904.7619047619048,0.2,0.14285714285714285
RENT,VENTURE,14.27,0.13,2,0,1590.909090909091,0.12857142857142856,0.09090909090909091
RENT,PERSONAL,10.59,0.13,2,0,1521.7391304347825,0.12857142857142856,0.21739130434782608
RENT,MEDICAL,12.87,0.13,3,0,1458.3333333333333,0.12857142857142856,0.041666666666666664
MORTGAGE,MEDICAL,10.74,0.2,3,0,1818.1818181818182,0.2,0.22727272727272727
MORTGAGE,VENTURE,11.36,0.35,3,0,1739.1304347826087,0.35,0.30434782608695654
RENT,EDUCATION,6.62,0.13,2,0,1714.2857142857142,0.125,0.0
MORTGAGE,MEDICAL,11.36,0.4,3,0,1538.4615384615386,0.4,0.19230769230769232
MORTGAGE,PERSONAL,6.91,0.36,4,1,1307.6923076923076,0.3602941176470588,0.15384615384615385
RENT,EDUCATION,6.17,0.13,3,0,1636.3636363636363,0.125,0.22727272727272727
RENT,VENTURE,7.14,0.13,4,0,1500.0,0.125,0.20833333333333334
OWN,MEDICAL,9.25,0.15,3,0,1818.1818181818182,0.15,0.22727272727272727
RENT,VENTURE,11.03,0.12,2,0,1697.3636363636363,0.1205077392748112,0.13636363636363635
MORTGAGE,MEDICAL,8.88,0.17,3,0,1739.1304347826087,0.175,0.08695652173913043
RENT,PERSONAL,5.42,0.12,4,0,1562.5,0.12,0.0
OWN,PERSONAL,6.91,0.17,3,0,1666.6666666666667,0.1725,0.0
RENT,MEDICAL,9.63,0.14,2,1,1454.5454545454545,0.140625,0.22727272727272727
RENT,MEDICAL,10.83,0.12,2,0,1583.3333333333333,0.11842105263157894,0.3333333333333333
RENT,EDUCATION,7.88,0.12,2,0,1652.3478260869565,0.11840858856962425,0.08695652173913043
MORTGAGE,DEBTCONSOLIDATION,14.09,0.21,2,1,1416.6666666666667,0.20588235294117646,0.041666666666666664
RENT,VENTURE,10.99,0.12,4,0,1625.0,0.11538461538461539,0.08333333333333333
RENT,EDUCATION,13.43,0.11,4,0,1818.0,0.11251125112511251,0.09090909090909091
RENT,EDUCATION,7.66,0.11,3,0,1818.1818181818182,0.1125,0.2727272727272727
RENT,MEDICAL,7.74,0.11,2,0,1538.4615384615386,0.1125,0.0
OWN,EDUCATION,14.83,0.3,4,0,1600.0,0.3,0.12
RENT,MEDICAL,12.84,0.11,3,0,1666.6666666666667,0.1125,0.3333333333333333
MORTGAGE,VENTURE,10.36,0.1,4,0,1818.1818181818182,0.1,0.2727272727272727
RENT,EDUCATION,14.84,0.13,3,1,1419.5,0.13208876364917224,0.08333333333333333
RENT,PERSONAL,12.99,0.11,4,0,1782.608695652174,0.10975609756097561,0.2608695652173913
MORTGAGE,MEDICAL,12.61,0.13,4,0,1600.0,0.125,0.24
RENT,VENTURE,17.27,0.13,2,1,1714.2857142857142,0.125,0.047619047619047616
MORTGAGE,MEDICAL,8.88,0.09,2,0,1666.6666666666667,0.0875,0.16666666666666666
MORTGAGE,HOMEIMPROVEMENT,5.42,0.13,2,0,1538.4615384615386,0.1325,0.38461538461538464
RENT,DEBTCONSOLIDATION,6.03,0.11,4,0,2000.0,0.10714285714285714,0.19047619047619047
RENT,DEBTCONSOLIDATION,11.49,0.11,4,0,1909.090909090909,0.10714285714285714,0.09090909090909091
MORTGAGE,DEBTCONSOLIDATION,5.79,0.15,3,0,1904.7619047619048,0.15,0.14285714285714285
RENT,PERSONAL,7.66,0.11,2,0,1615.3846153846155,0.10714285714285714,0.11538461538461539
RENT,MEDICAL,6.76,0.1,2,0,1740.0,0.10344827586206896,0.0
RENT,DEBTCONSOLIDATION,5.99,0.1,3,0,1749.52,0.10288536284237962,0.0
RENT,MEDICAL,7.74,0.1,3,0,1692.4615384615386,0.10226343059721843,0.07692307692307693
RENT,VENTURE,9.25,0.1,4,0,1956.5217391304348,0.1,0.0
RENT,DEBTCONSOLIDATION,13.49,0.11,3,1,1952.3809523809523,0.10975609756097561,0.09523809523809523
MORTGAGE,PERSONAL,11.36,0.12,2,0,1818.1818181818182,0.12,0.2727272727272727
RENT,DEBTCONSOLIDATION,11.11,0.09,4,0,1846.1538461538462,0.09375,0.38461538461538464
RENT,DEBTCONSOLIDATION,12.21,0.09,4,0,2108.695652173913,0.09278350515463918,0.0
RENT,PERSONAL,14.46,0.1,2,1,2000.0,0.10227272727272728,0.0
RENT,PERSONAL,5.79,0.1,3,1,2000.0,0.10227272727272728,0.13636363636363635
MORTGAGE,MEDICAL,6.76,0.06,4,0,1904.7619047619048,0.0625,0.14285714285714285
OWN,VENTURE,6.76,0.03,3,0,1666.6666666666667,0.025,0.25
RENT,EDUCATION,6.76,0.09,4,0,2295.6521739130435,0.08522727272727272,0.13043478260869565
RENT,PERSONAL,7.14,0.08,4,0,2254.1666666666665,0.08317929759704251,0.20833333333333334
OWN,HOMEIMPROVEMENT,11.86,0.25,4,0,1538.4615384615386,0.25,0.0
RENT,HOMEIMPROVEMENT,9.76,0.09,2,1,2195.4545454545455,0.09316770186335403,0.0
MORTGAGE,PERSONAL,15.21,0.23,2,1,1545.4545454545455,0.22794117647058823,0.18181818181818182
RENT,MEDICAL,11.36,0.08,3,0,2092.153846153846,0.0827266710787558,0.38461538461538464
MORTGAGE,PERSONAL,7.14,0.1,3,0,1739.1304347826087,0.1,0.043478260869565216
OWN,PERSONAL,14.35,0.05,2,0,1666.6666666666667,0.05,0.16666666666666666
RENT,DEBTCONSOLIDATION,7.9,0.08,2,0,2291.6666666666665,0.08181818181818182,0.08333333333333333
RENT,VENTURE,8.49,0.08,3,0,2391.304347826087,0.08181818181818182,0.17391304347826086
RENT,DEBTCONSOLIDATION,6.76,0.08,4,0,2500.0,0.08181818181818182,0.18181818181818182
MORTGAGE,VENTURE,13.98,0.38,2,0,1666.6666666666667,0.38125,0.08333333333333333
MORTGAGE,VENTURE,11.36,0.2,4,0,1666.6666666666667,0.2,0.20833333333333334
RENT,MEDICAL,6.03,0.08,2,0,2267.1923076923076,0.07633976283780346,0.38461538461538464
RENT,MEDICAL,12.68,0.08,3,0,2565.217391304348,0.07627118644067797,0.13043478260869565
OWN,EDUCATION,10.38,0.2,4,0,1600.0,0.2,0.0
RENT,HOMEIMPROVEMENT,8.49,0.08,2,1,2347.8260869565215,0.08333333333333333,0.21739130434782608
RENT,EDUCATION,11.36,0.08,2,1,2347.8260869565215,0.08333333333333333,0.30434782608695654
RENT,VENTURE,12.42,0.07,2,0,2695.6521739130435,0.07258064516129033,0.30434782608695654
MORTGAGE,PERSONAL,7.14,0.2,3,0,1818.1818181818182,0.2025,0.09090909090909091
RENT,HOMEIMPROVEMENT,10.99,0.07,2,1,2400.0,0.075,0.36
MORTGAGE,EDUCATION,6.39,0.1,3,0,1739.1304347826087,0.1,0.0
RENT,PERSONAL,12.18,0.06,4,0,3083.3333333333335,0.060810810810810814,0.0
RENT,EDUCATION,8.63,0.06,2,0,3159.84,0.05696490961567674,0.36
RENT,VENTURE,13.06,0.06,2,0,3200.0,0.05625,0.32
RENT,DEBTCONSOLIDATION,7.42,0.05,3,0,3302.4,0.05450581395348837,0.24
RENT,HOMEIMPROVEMENT,12.18,0.05,2,0,3360.0,0.05357142857142857,0.0
RENT,VENTURE,11.36,0.05,4,0,3618.9166666666665,0.05181108526953278,0.3333333333333333
MORTGAGE,VENTURE,11.36,0.26,4,0,1666.6666666666667,0.2625,0.125
MORTGAGE,PERSONAL,9.88,0.25,2,0,1666.6666666666667,0.25,0.3333333333333333
OWN,VENTURE,10.25,0.14,3,0,1904.7619047619048,0.14,0.2857142857142857
RENT,EDUCATION,13.43,0.03,3,0,5520.0,0.03260869565217391,0.04
RENT,EDUCATION,13.72,0.22,3,0,898.4347826086956,0.22018970189701897,0.17391304347826086
MORTGAGE,EDUCATION,10.62,0.29,2,1,1619.047619047619,0.29411764705882354,0.23809523809523808
RENT,DEBTCONSOLIDATION,12.84,0.15,3,0,1362.5454545454545,0.15178809714438218,0.2727272727272727
RENT,EDUCATION,15.23,0.11,4,0,1826.0869565217392,0.10833333333333334,0.08695652173913043
RENT,HOMEIMPROVEMENT,13.57,0.04,2,0,5000.0,0.035,0.0
RENT,EDUCATION,13.99,0.19,2,0,1142.857142857143,0.19166666666666668,0.0
RENT,MEDICAL,6.03,0.17,3,0,1211.4782608695652,0.1650875681883434,0.0
MORTGAGE,MEDICAL,10.62,0.15,4,0,1538.4615384615386,0.15,0.19230769230769232
RENT,PERSONAL,11.36,0.16,2,0,1353.142857142857,0.16188063063063063,0.2857142857142857
RENT,MEDICAL,11.36,0.15,2,0,1250.0,0.15333333333333332,0.0
MORTGAGE,VENTURE,11.36,0.12,2,0,1818.1818181818182,0.11875,0.2727272727272727
RENT,EDUCATION,11.71,0.14,3,0,1434.7826086956522,0.1393939393939394,0.0
RENT,VENTURE,10.59,0.12,3,0,1739.1304347826087,0.115,0.043478260869565216
MORTGAGE,DEBTCONSOLIDATION,7.14,0.25,4,0,1600.0,0.25,0.32
RENT,EDUCATION,11.36,0.1,4,0,2021.7391304347825,0.0989247311827957,0.13043478260869565
MORTGAGE,MEDICAL,7.51,0.23,4,0,1904.7619047619048,0.225,0.23809523809523808
MORTGAGE,DEBTCONSOLIDATION,11.36,0.12,3,0,1600.0,0.11875,0.08
RENT,DEBTCONSOLIDATION,13.99,0.1,4,1,1692.3076923076924,0.10454545454545454,0.19230769230769232
RENT,PERSONAL,8.59,0.09,2,0,2476.0,0.0884683437187476,0.23809523809523808
